"Probe_ID","Probe_Name"
"AF003743_at","GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA, 5' UTR and partial cds"
"AF006041_at","Fas-binding protein (DAXX) mRNA, partial cds"
"AF006084_at","Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA"
"AF006087_at","Arp2/3 protein complex subunit p20-Arc (ARC20) mRNA"
"AF007875_at","Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds"
"AF008445_at","Phospholipid scramblase mRNA"
"AF008937_at","GB DEF = Syntaxin-16C mRNA"
"AF009301_at","GB DEF = TEB4 protein mRNA"
"AF010193_at","MAD-related gene SMAD7 (SMAD7) mRNA"
"AF014958_at","Chemokine receptor X (CKRX) mRNA"
"AF015910_at","GB DEF = Unknown protein mRNA, partial cds"
"AF015913_at","GB DEF = SKB1Hs mRNA"
"AJ000480_at","GB DEF = C8FW phosphoprotein"
"AJ001421_at","GB DEF = Rer1 protein"
"D00017_at","ANX2 Annexin II (lipocortin II)"
"D00596_at","TYMS Thymidylate synthase"
"D00632_at","GPX3 Glutathione peroxidase 3 (plasma)"
"D00723_at","GCSH Glycine cleavage system protein H (aminomethyl carrier)"
"D00726_at","FECH Ferrochelatase (protoporphyria)"
"D00760_at","PSMA3 Proteasome component C3"
"D00761_at","PSMA5 Proteasome component C5"
"D00762_at","PROTEASOME COMPONENT C8"
"D00763_at","GAPD Glyceraldehyde-3-phosphate dehydrogenase"
"D10202_at","PTAFR Platelet activating factor receptor"
"D10495_at","PRKCD Protein kinase C, delta"
"D10511_at","ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)"
"D10522_at","MACS Myristoylated alanine-rich C-kinase substrate"
"D10523_at","OGDH Oxoglutarate dehydrogenase (lipoamide)"
"D10923_at","PROBABLE G PROTEIN-COUPLED RECEPTOR HM74"
"D10995_at","GB DEF = Serotonin 1B receptor"
"D11086_at","IL2RG Interleukin 2 receptor gamma chain"
"D11094_at","26S PROTEASE REGULATORY SUBUNIT 7"
"D11428_at","PMP22 Peripheral myelin protein 22"
"D13315_at","GLO1 Glyoxalase I"
"D13370_at","DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE"
"D13435_at","PIGF Phosphatidylinositol glycan, class F"
"D13626_at","KIAA0001 gene"
"D13627_at","KIAA0002 gene"
"D13628_at","ANGPT1 Angiopoietin 1"
"D13630_at","KIAA0005 gene"
"D13636_at","KIAA0011 gene"
"D13639_at","CCND2 Cyclin D2"
"D13640_at","HLA-C Major histocompatibility complex, class I, C"
"D13641_at","KIAA0016 gene"
"D13643_at","KIAA0018 gene"
"D13645_at","KIAA0020 gene"
"D13748_at","EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1"
"D13897_rna2_at","Peptide YY precursor gene extracted from Human DNA for peptide YY"
"D13900_at","Mitochondrial short-chain enoyl-CoA hydratase"
"D13988_at","Rab GDI mRNA"
"D14043_at","PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24"
"D14657_at","KIAA0101 gene"
"D14658_at","KIAA0102 gene"
"D14661_at","KIAA0105 gene"
"D14662_at","KIAA0106 gene"
"D14663_at","KIAA0107 gene"
"D14686_at","AMT Glycine cleavage system protein T (aminomethyltransferase)"
"D14689_at","NUCLEAR PORE COMPLEX PROTEIN NUP214"
"D14694_at","PHOSPHATIDYLSERINE SYNTHASE I"
"D14695_at","APOA2 Apolipoprotein A-II"
"D14710_at","ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle"
"D14811_at","KIAA0110 gene"
"D14812_at","KIAA0026 gene"
"D14838_at","FGF9 Fibroblast growth factor 9 (glia-activating factor)"
"D14874_at","ADM Adrenomedullin"
"D14878_at","Protein D123"
"D14889_at","Small GTP-binding protein, S10"
"D15050_at","Transcription factor AREB6"
"D15057_at","DEFENDER AGAINST CELL DEATH 1"
"D16217_at","CAST Calpastatin"
"D16294_at","3-KETOACYL-COA THIOLASE MITOCHONDRIAL"
"D16469_at","ORF, Xq terminal portion"
"D16532_at","VLDLR Very low density lipoprotein receptor"
"D16562_at","ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR"
"D16593_at","HPCA Hippocalcin"
"D17525_at","CRARF C4/C2 activating component of Ra-reactive factor"
"D17716_at","GB DEF = N-acetylglucosaminyltransferase V"
"D21063_at","KIAA0030 gene, partial cds"
"D21090_at","XP-C repair complementing protein (p58/HHR23B)"
"D21255_at","CDH11 Cadherin 11 (OB-cadherin)"
"D21260_at","60S RIBOSOMAL PROTEIN L23"
"D21261_at","SM22-ALPHA HOMOLOG"
"D21262_at","KIAA0035 gene, partial cds"
"D21852_at","KIAA0029 gene, partial cds"
"D23662_at","UBL1 Ubiquitin-like protein"
"D25216_at","KIAA0014 gene"
"D25217_at","KIAA0027 gene, partial cds"
"D25218_at","KIAA0112 gene, partial cds"
"D25248_at","Randomly sequenced mRNA"
"D25274_at","Randomly sequenced mRNA"
"D25278_at","KIAA0036 gene"
"D25328_at","PFKP Phosphofructokinase, platelet"
"D25538_at","KIAA0037 gene"
"D25547_at","PIMT isozyme I"
"D26069_at","KIAA0041 gene, partial cds"
"D26129_at","RNS1 Ribonuclease A (pancreatic)"
"D26308_at","NADPH-flavin reductase"
"D26579_at","Transmembrane protein"
"D26599_at","Proteasome subunit HsC7-I"
"D28114_at","MOBP Myelin-associated oligodendrocytic basic protein"
"D28118_at","DB1"
"D28137_at","RPS11 Ribosomal protein S11"
"D28364_at","GB DEF = Annexin II, 5'UTR (sequence from the 5'cap to the start codon)"
"D28383_at","GB DEF = ATP synthase B chain, 5'UTR (sequence from the 5'cap to the start codon)"
"D28423_at","GB DEF = Pre-mRNA splicing factor SRp20, 5'UTR (sequence from the 5'cap to the start codon)"
"D28476_at","KIAA0045 gene"
"D28588_at","SP2 Sp2 transcription factor"
"D28589_at","GB DEF = mRNA (KIAA00167), partial sequence"
"D28915_at","Hepatitis C-associated microtubular aggregate protein p44"
"D29641_at","HYPOTHETICAL MYELOID CELL LINE PROTEIN 2"
"D29642_at","HYPOTHETICAL MYELOID CELL LINE PROTEIN 3"
"D29643_at","KIAA0115 gene"
"D29677_at","HYPOTHETICAL MYELOID CELL LINE PROTEIN 5"
"D30036_at","PHOSPHATIDYLINOSITOL"
"D30655_at","EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2"
"D30742_at","CAMK4 Calcium/calmodulin-dependent protein kinase IV"
"D30755_at","VIM Vimentin"
"D30758_at","KIAA0050 gene"
"D31716_at","GC box bindig protein"
"D31764_at","KIAA0064 gene"
"D31766_at","PUTATIVE GLUCOSAMINE-6-PHOSPHATE ISOMERASE"
"D31767_at","KIAA0058 gene"
"D31797_at","CD40LG CD40 antigen ligand (hyper IgM syndrome)"
"D31883_at","KIAA0059 gene"
"D31884_at","KIAA0063 gene"
"D31885_at","KIAA0069 gene, partial cds"
"D31888_at","KIAA0071 gene, partial cds"
"D31890_at","KIAA0070 gene, partial cds"
"D31891_at","KIAA0067 gene"
"D32001_at","GB DEF = HuSAA1g gene for serum amyloid A1 gamma, exon 3 and intron 3"
"D32050_at","AARS Alanyl-tRNA synthetase"
"D38037_at","FK-506 binding protein (fkbp12.6) gene"
"D38047_at","26S PROTEASOME REGULATORY SUBUNIT P31"
"D38048_at","Proteasome subunit z"
"D38076_at","RANBP1 RAN binding protein 1"
"D38145_at","Prostacyclin synthase"
"D38305_at","Tob"
"D38521_at","KIAA0077 gene, partial cds"
"D38524_at","NT5 5' nucleotidase (CD73)"
"D38535_at","PK-120"
"D38548_at","KIAA0076 gene"
"D38549_at","KIAA0068 gene, partial cds"
"D38550_at","KIAA0075 gene, partial cds"
"D38551_at","KIAA0078 gene"
"D38552_at","KIAA0073 gene, partial cds"
"D38555_at","KIAA0079 gene"
"D38583_at","Calgizzarin"
"D42041_at","KIAA0088 gene, partial cds"
"D42043_at","KIAA0084 gene, partial cds"
"D42053_at","KIAA0091 gene"
"D42054_at","KIAA0092 gene"
"D42084_at","KIAA0094 gene, partial cds"
"D42085_at","KIAA0095 gene"
"D42087_at","KIAA0118 gene, partial cds"
"D43636_at","KIAA0096 gene, partial cds"
"D43642_at","YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability)"
"D43767_at","Chemokine"
"D43947_at","KIAA0100 gene"
"D43948_at","KIAA0097 gene"
"D43949_at","KIAA0082 gene, partial cds"
"D43950_at","T-COMPLEX PROTEIN 1, EPSILON SUBUNIT"
"D43951_at","ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR"
"D44466_at","Proteasome subunit p112"
"D45248_at","Proteasome activator hPA28 subunit beta"
"D45370_at","ApM2 mRNA for GS2374 (unknown product specific to adipose tissue)"
"D45371_at","ApM1 mRNA for GS3109 (novel adipose specific collagen-like factor)"
"D49396_at","Apo1_Human (MER5(Aop1-Mouse)-like protein)"
"D49410_at","IL3RA Interleukin 3 receptor, alpha (low affinity)"
"D49489_at","Protein disulfide isomerase-related protein P5"
"D49490_at","Protein disulfide isomerase-related protein (PDIR)"
"D49738_at","Cytoskeleton associated protein (CG22) mRNA"
"D49817_at","Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase"
"D49818_at","Fructose 6-phosphate,2-kinase/fructose 2,6-bisphosphatase, partial cds"
"D50495_at","Transcription elongation factor S-II, hS-II-T1"
"D50525_at","GB DEF = TI-227H"
"D50663_at","CW-1 mRNA"
"D50683_at","TGFBR2 Transforming growth factor, beta receptor II (70-80kD)"
"D50692_at","C-myc binding protein"
"D50840_at","Ceramide glucosyltransferase"
"D50857_at","DOCK180 protein mRNA"
"D50863_at","TESK1"
"D50911_at","KIAA0121 gene"
"D50912_at","KIAA0122 gene, partial cds"
"D50913_at","KIAA0123 gene, partial cds"
"D50914_at","KIAA0124 gene, partial cds"
"D50915_at","KIAA0125 gene"
"D50916_at","KIAA0126 gene"
"D50917_at","KIAA0127 gene"
"D50918_at","KIAA0128 gene, partial cds"
"D50920_at","KIAA0130 gene"
"D50926_at","KIAA0136 gene, partial cds"
"D50927_at","KIAA0137 gene"
"D50928_at","KIAA0138 gene"
"D50930_at","KIAA0140 gene"
"D55640_at","GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA, clone Mo2"
"D55654_at","MDH1 Malate dehydrogenase 1, NAD (soluble)"
"D55716_at","DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG"
"D61380_at","DJ-1 protein"
"D61391_at","Phosphoribosypyrophosphate synthetase-associated protein 39"
"D63160_at","Serum lectin P35"
"D63391_at","Platelet activating factor acetylhydrolase IB gamma-subunit"
"D63475_at","KIAA0109 gene"
"D63476_at","KIAA0142 gene"
"D63481_at","KIAA0147 gene, partial cds"
"D63486_at","KIAA0152 gene"
"D63487_at","KIAA0153 gene, partial cds"
"D63506_at","Unc-18homologue"
"D63813_at","Rod photoreceptor protein"
"D63851_at","Unc-18 homologue"
"D63874_at","HMG1 High-mobility group (nonhistone chromosomal) protein 1"
"D63875_at","KIAA0155 gene"
"D63876_at","KIAA0154 gene, partial cds"
"D63877_at","KIAA0241 gene, partial cds"
"D63878_at","PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR"
"D63879_at","KIAA0156 gene"
"D63880_at","KIAA0159 gene"
"D63881_at","KIAA0160 gene, partial cds"
"D63998_at","MANA2 Mannosidase, alpha type II"
"D64109_at","Tob family"
"D64110_at","Tob family"
"D64142_at","Histone H1x"
"D64158_at","ATP binding protein associated with cell differentiation, partial cds"
"D67029_at","SEC14L SEC14 (S. cerevisiae)-like"
"D78012_at","CRMP1 Collapsin response mediator protein 1"
"D78129_at","GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase, partial cds"
"D78134_at","YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"D78275_at","Proteasome subunit p42"
"D78335_at","5'-terminal region of UMK"
"D78361_at","Ornithine decarboxylase antizyme, ORF 1 and ORF 2"
"D78586_at","CAD PROTEIN"
"D78611_at","MEST Mesoderm specific transcript (mouse) homolog"
"D79986_at","KIAA0164 gene"
"D79990_at","KIAA0168 gene"
"D79992_at","KIAA0170 gene"
"D79993_at","KIAA0171 gene"
"D79994_at","KIAA0172 gene, partial cds"
"D79996_at","KIAA0174 gene"
"D79999_at","KIAA0177 gene, partial cds"
"D80001_at","KIAA0179 gene, partial cds"
"D80003_at","KIAA0181 gene, partial cds"
"D80004_at","KIAA0182 gene, partial cds"
"D80005_at","KIAA0183 gene, partial cds"
"D80006_at","KIAA0184 gene, partial cds"
"D80007_at","KIAA0185 gene, partial cds"
"D80008_at","KIAA0186 gene"
"D80009_at","KIAA0187 gene"
"D80010_at","KIAA0188 gene, partial cds"
"D80012_at","KIAA0190 gene, partial cds"
"D82061_at","B-cell mRNA for a member of the short-chain alcohol dehydrogenase family, partial cds"
"D82070_at","AC1 mRNA"
"D82345_at","NB thymosin beta"
"D82348_at","5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase"
"D83004_at","Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product"
"D83032_at","Nuclear protein, NP220"
"D83243_at","ATM Ataxia telangiectasia mutated (includes complementation groups A, C and D)"
"D83542_at","Cadherin-15"
"D83597_at","RP105"
"D83657_at","Calcium-binding protein in amniotic fluid 1"
"D83703_at","Peroxisome assembly factor-2"
"D83735_at","Adult heart mRNA for neutral calponin"
"D83776_at","KIAA0191 gene, partial cds"
"D83777_at","KIAA0193 gene"
"D83780_at","KIAA0196 gene"
"D83783_at","KIAA0192 gene, partial cds"
"D83784_at","KIAA0198 gene, partial cds"
"D83785_at","KIAA0200 gene"
"D83920_at","FCN1 Ficolin (collagen/fibrinogen domain-containing) 1"
"D84110_at","RBP-MS/type 1"
"D84239_at","IgG Fc binding protein"
"D84276_at","CD38 CD38 antigen (p45)"
"D84294_at","TPRD"
"D84307_at","Phosphoethanolamine cytidylyltransferase"
"D84557_at","P105MCM mRNA"
"D85245_at","TR3beta"
"D85429_at","DNAJ PROTEIN HOMOLOG 1"
"D85527_at","GB DEF = LIM domain, partial cds"
"D85758_at","Enhancer of rudimentary homolog mRNA"
"D85815_at","DNA for rhoHP1"
"D85939_at","P97 homologous protein"
"D86479_at","Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds"
"D86549_at","P97 homologous protein, partial cds"
"D86956_at","KIAA0201 gene"
"D86961_at","KIAA0206 gene, partial cds"
"D86962_at","KIAA0207 gene"
"D86964_at","KIAA0209 gene, partial cds"
"D86967_at","KIAA0212 gene"
"D86970_at","KIAA0216 gene"
"D86971_at","KIAA0217 gene, partial cds"
"D86972_at","KIAA0218 gene"
"D86973_at","KIAA0219 gene, partial cds"
"D86976_at","KIAA0223 gene, partial cds"
"D86978_at","KIAA0225 gene, partial cds"
"D86979_at","KIAA0226 gene"
"D86983_at","KIAA0230 gene, partial cds"
"D86985_at","KIAA0232 gene"
"D87023_cds2_at","J1 gene extracted from Human (lambda) DNA for immunoglobin light chain"
"D87071_at","KIAA0233 gene"
"D87073_at","KIAA0236 gene"
"D87074_at","KIAA0237 gene"
"D87075_at","KIAA0238 gene, partial cds"
"D87076_at","KIAA0239 gene, partial cds"
"D87078_at","KIAA0235 gene, partial cds"
"D87116_at","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3"
"D87119_at","Cancellous bone osteoblast mRNA for GS3955"
"D87120_at","Cancellous bone osteoblast mRNA for GS3786"
"D87292_at","Rhodanese"
"D87433_at","KIAA0246 gene, partial cds"
"D87434_at","KIAA0247 gene"
"D87435_at","ARF3 ADP-ribosylation factor 3"
"D87436_at","KIAA0249 gene"
"D87438_at","KIAA0251 gene, partial cds"
"D87442_at","KIAA0253 gene, partial cds"
"D87445_at","KIAA0256 gene"
"D87446_at","KIAA0257 gene, partial cds"
"D87447_at","KIAA0258 gene"
"D87448_at","KIAA0259 gene, partial cds"
"D87450_at","KIAA0261 gene, partial cds"
"D87451_at","KIAA0262 gene"
"D87452_at","KIAA0263 gene"
"D87453_at","KIAA0264 gene, partial cds"
"D87455_at","KIAA0266 gene"
"D87459_at","KIAA0269 gene"
"D87460_at","KIAA0270 gene, partial cds"
"D87462_at","KIAA0272 gene, partial cds"
"D87464_at","KIAA0274 gene"
"D87465_at","KIAA0275 gene"
"D87466_at","KIAA0276 gene, partial cds"
"D87469_at","KIAA0279 gene, partial cds"
"D87673_at","Heat shock transcription factor 4"
"D87684_at","KIAA0242 gene, partial cds"
"D87937_at","GB DEF = Alpha(1,2)fucosyltransferase, 5'UTR partial sequence"
"D87953_at","RTP"
"D87969_at","CMP-sialic acid transporter"
"D88270_at","GB DEF = (lambda) DNA for immunoglobin light chain"
"D88422_at","CYSTATIN A"
"D88613_at","HGCMa"
"D89016_at","Neuroblastoma"
"D89052_at","Proton-ATPase-like protein"
"D89077_at","Src-like adapter protein mRNA"
"D89667_at","C-myc binding protein"
"D90084_at","PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1"
"D90086_at","PDHB Pyruvate dehydrogenase (lipoamide) beta"
"D90209_at","ATF4 CAMP-dependent transcription factor ATF-4 (CREB2)"
"D90224_at","TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD)"
"D90276_at","CGM7 Carcinoembryonic antigen gene family member 7"
"HG1078-HT1078_at","Lamin-Like Protein (Gb:M24732)"
"HG1102-HT1102_at","Ras-Related C3 Botulinum Toxin Substrate"
"HG1112-HT1112_at","Ras-Like Protein Tc4"
"HG1153-HT1153_at","Nucleoside Diphosphate Kinase Nm23-H2s"
"HG1205-HT1205_at","Collagen, Type Iv, Alpha 2, N-Terminus"
"HG1612-HT1612_at","Macmarcks"
"HG1614-HT1614_at","Protein Phosphatase 1, Alpha Catalytic Subunit"
"HG1649-HT1652_at","Elastase 1"
"HG1804-HT1829_at","Ornithine Aminotransferase-Like 3"
"HG1862-HT1897_at","Calmodulin Type I"
"HG1869-HT1904_at","Male Enhanced Antigen"
"HG1872-HT1907_at","Major Histocompatibility Complex, Dg"
"HG1879-HT1919_at","Ras-Like Protein Tc10"
"HG2036-HT2090_at","Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21"
"HG2059-HT2114_at","Arrestin, Beta 2"
"HG2167-HT2237_at","Protein Kinase Ht31, Camp-Dependent"
"HG2247-HT2332_at","Major Intrinsic Protein"
"HG2264-HT2360_at","Atpase, Ca2+ Transporting, Plasma Membrane 1, Alt. Splice 6"
"HG2274-HT2370_at","Rna Polymerase Ii, 14.5 Kda Subunit"
"HG2279-HT2375_at","Triosephosphate Isomerase"
"HG2290-HT2386_at","Calcitonin"
"HG2320-HT2416_at","Integrin, Beta 3 Subunit"
"HG2325-HT2421_at","Retinoic Acid Receptor, Gamma 2"
"HG2415-HT2511_at","Transcription Factor E2f-2"
"HG2463-HT2559_at","Guanine Nucleotide-Binding Protein G25k"
"HG2480-HT2576_at","Fmlp-Related Receptor I"
"HG2525-HT2621_at","Helix-Loop-Helix Protein Delta Max, Alt. Splice 1"
"HG2602-HT2698_at","Succinate Dehydrogenase, Flavoprotein Subunit"
"HG2715-HT2811_at","Tyrosine Kinase (Gb:Z25437)"
"HG2724-HT2820_at","Oncogene Tls/Chop, Fusion Activated"
"HG2788-HT2896_at","Calcyclin"
"HG2810-HT2921_at","Homeotic Protein Pl2"
"HG2825-HT2949_at","Ret Transforming Gene"
"HG2855-HT2995_at","Heat Shock Protein, 70 Kda (Gb:Y00371)"
"HG2874-HT3018_at","Ribosomal Protein L39 Homolog"
"HG2992-HT5186_at","Beta-Hexosaminidase, Alpha Polypeptide, Abnormal Splice Mutation"
"HG3039-HT3200_at","Adp-Ribosylation-Like Factor"
"HG3088-HT3263_at","Splicing Factor Sc35, Alt Splice Form 3"
"HG3162-HT3339_at","Transcription Factor Iia"
"HG3175-HT3352_at","Carcinoembryonic Antigen"
"HG3227-HT3404_at","Guanine Nucleotide-Binding Protein Hsr1"
"HG3231-HT3408_at","Protease Receptor-1, Effector Cell"
"HG3286-HT3463_at","Crystallin, Alpha A"
"HG3344-HT3521_at","Ubiquitin-Conjugating Enzyme Ubch5"
"HG3355-HT3532_at","Peroxisome Proliferator Activated Receptor (Gb:Z30972)"
"HG3454-HT3647_at","Zinc Finger Protein 20"
"HG3492-HT3686_at","Uncoupling Protein Ucp"
"HG3494-HT3688_at","Nuclear Factor Nf-Il6"
"HG3495-HT3689_at","Collagen, Type Ix, Alpha 1"
"HG3514-HT3708_at","Tropomyosin Tm30nm, Cytoskeletal"
"HG3521-HT3715_at","Ras-Related Protein Rap1b"
"HG3548-HT3749_at","Ccaat Displacement Protein, Cut Homolog, Alt. Splice 1"
"HG3578-HT3781_at","Autoimmune Antigen, Thyroid Disease-Related Antigen"
"HG3627-HT3836_at","Calcium Channel, Voltage-Gated, Beta 1 Subunit, L Type, Alt. Splice 2, Skeletal Muscle Isoform"
"HG363-HT363_at","Epidermal Growth Factor Receptor-Related Protein"
"HG3740-HT4010_at","Basic Transcription Factor 2, 34 Kda Subunit"
"HG3748-HT4018_at","Basic Transcription Factor, 44 Kda Subunit"
"HG3934-HT4204_at","G1 Phase-Specific Gene"
"HG3936-HT4206_at","Interleukin 9 Receptor (Gb:S71404)"
"HG3987-HT4257_at","Cpg-Enriched Dna, Clone E06"
"HG3995-HT4265_at","Cpg-Enriched Dna, Clone S19"
"HG4018-HT4288_at","Opioid-Binding Cell Adhesion Molecule"
"HG4036-HT4306_at","Retinoblastoma 1"
"HG4068-HT4338_at","Phosphoprotein Tal2"
"HG4073-HT4343_at","Cytosolic Acetoacetyl-Coenzyme A Thiolase"
"HG4074-HT4344_at","Rad2"
"HG4126-HT4396_at","Zinc Finger Protein Hzf4"
"HG4167-HT4437_at","Nuclear Factor 1, A Type"
"HG4178-HT4448_at","Af-17"
"HG4243-HT4513_at","Zinc Finger Protein Znf155"
"HG4263-HT4533_at","Nkr-P1a Protein"
"HG4297-HT4567_at","Transcriptional Coactivator Pc4"
"HG4460-HT4729_at","Immunoglobulin Heavy Chain, Vdjc Regions (Gb:L23564)"
"HG4582-HT4987_at","Glucocorticoid Receptor, Beta"
"HG4606-HT5011_at","Centractin, Alpha"
"HG4638-HT5050_at","Spliceosomal Protein Sap 49"
"HG4660-HT5073_at","Microtubule-Associated Protein 1b"
"HG4662-HT5075_at","Omega Light Chain, Immunoglobulin Lambda Light Chain Related"
"HG4716-HT5158_at","Guanosine 5'-Monophosphate Synthase"
"HG4749-HT5197_at","Calmitine Calcium-Binding Protein, Mitochondrial"
"HG511-HT511_at","Ras Inhibitor Inf"
"HG620-HT620_at","Tyrosine Phosphatase, Epsilon"
"HG830-HT830_at","Potassium Channel (Gb:L02750)"
"HG846-HT846_at","Cyclophilin-Related Protein"
"HG908-HT908_at","Mg61 Protein (Gb:L08239)"
"HG919-HT919_at","Dna Polymerase, Epsilon, Catalytic Subunit"
"HG987-HT987_at","Mac25"
"J00073_at","Alpha-cardiac actin gene, 5' flank and"
"J00306_at","Somatostatin I gene and flanks"
"J02645_at","EIF2A Eukaryotic translation initiation factor 2A"
"J02902_at","PROTEIN PHOSPHATASE PP2A, 65 KD REGULATORY SUBUNIT, ALPHA ISOFORM"
"J02906_at","CYTOCHROME P450 IIF1"
"J02923_at","LCP1 Lymphocyte cytosolic protein 1 (L-plastin)"
"J02973_rna1_at","THBD gene extracted from Human thrombomodulin gene"
"J03040_at","SPARC SPARC/osteonectin"
"J03069_rna1_at","MYCL2 gene"
"J03161_at","SRF Serum response factor (c-fos serum response element-binding transcription factor)"
"J03191_at","Profilin mRNA"
"J03278_at","PDGFRB Platelet-derived growth factor receptor, beta polypeptide"
"J03459_at","LTA4H Leukotriene A4 hydrolase"
"J03473_at","ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)"
"J03589_at","UBIQUITIN-LIKE PROTEIN GDX"
"J03600_at","ALOX5 Arachidonate 5-lipoxygenase"
"J03764_at","PAI1 Plasminogen activator inhibitor, type I"
